LN - Grünfläche (in ha);419;......0666 Kriechenwil;164;171;164;156;131;132;150;159
LN - Grünfläche (in ha);420;......0667 Laupen;56;55;49;53;41;59;49;65
LN - Grünfläche (in ha);421;......0668 Mühleberg;710;726;698;664;625;656;612;719
LN - Grünfläche (in ha);422;......0669 Münchenwiler;152;157;142;150;145;113;87;111
LN - Grünfläche (in ha);423;......0670 Neuenegg;652;654;654;626;572;596;559;596
LN - Grünfläche (in ha);424;......0671 Wileroltigen;69;68;79;87;84;89;116;105
LN - Grünfläche (in ha);425;......0852 Guggisberg;2030;2087;2076;1982;2030;1997;1959;2096
LN - Grünfläche (in ha);426;......0853 Rüschegg;800;782;767;778;781;676;750;745
LN - Grünfläche (in ha);427;......0855 Schwarzenburg;2353;2376;2400;2369;2258;2193;2223;2318
LN - Grünfläche (in ha);428;......0861 Belp;724;763;781;786;746;731;754;798
LN - Grünfläche (in ha);429;......0866 Gerzensee;390;411;404;400;365;340;306;331
LN - Grünfläche (in ha);430;......0868 Jaberg;65;68;31;34;33;41;39;42
LN - Grünfläche (in ha);431;......0869 Kaufdorf;114;109;119;124;142;143;141;136
LN - Grünfläche (in ha);432;......0870 Kehrsatz;198;199;190;186;178;187;172;175
LN - Grünfläche (in ha);433;......0872 Kirchdorf (BE);719;734;763;764;698;686;648;690
LN - Grünfläche (in ha);434;......0877 Niedermuhlern;452;444;417;439;431;428;412;430
LN - Grünfläche (in ha);435;......0879 Riggisberg;1188;1187;1258;1192;1257;1234;1221;1214
LN - Grünfläche (in ha);436;......0880 Rüeggisberg;1845;1861;1865;1841;1813;1852;1810;1784
LN - Grünfläche (in ha);437;......0884 Toffen;204;203;203;190;193;186;198;195
LN - Grünfläche (in ha);438;......0888 Wald (BE);680;721;705;700;658;660;677;719
LN - Grünfläche (in ha);439;......0889 Thurnen;341;345;363;358;361;394;346;368
LN - Grünfläche (in ha);440;>> Verwaltungskreis Thun;11206;11200;11199;11122;11040;11127;11010;11055
LN - Grünfläche (in ha);441;......0767 Reutigen;367;377;368;379;364;363;353;344
LN - Grünfläche (in ha);442;......0770 Stocken-Höfen;474;463;479;468;497;456;506;515
LN - Grünfläche (in ha);443;......0863 Burgistein;554;549;533;538;496;503;403;465
LN - Grünfläche (in ha);444;......0867 Gurzelen;347;346;351;327;323;311;313;300
LN - Grünfläche (in ha);445;......0883 Seftigen;165;159;163;167;169;167;165;191
LN - Grünfläche (in ha);446;......0885 Uttigen;118;119;127;112;131;123;130;129
LN - Grünfläche (in ha);447;......0886 Wattenwil;481;486;498;519;475;468;472;505
LN - Grünfläche (in ha);448;......0921 Amsoldingen;221;219;230;232;223;206;226;233
LN - Grünfläche (in ha);449;......0922 Blumenstein;369;369;398;354;312;324;358;382
LN - Grünfläche (in ha);450;......0923 Buchholterberg;924;887;885;890;890;863;876;839
LN - Grünfläche (in ha);451;......0924 Eriz;494;499;548;551;541;566;479;422
LN - Grünfläche (in ha);452;......0925 Fahrni;473;455;447;425;404;406;415;409
LN - Grünfläche (in ha);453;......0927 Heiligenschwendi;267;267;274;278;273;271;260;275
LN - Grünfläche (in ha);454;......0928 Heimberg;103;107;108;90;103;104;100;125
LN - Grünfläche (in ha);455;......0929 Hilterfingen;3;0;1;1;3;6;5;6
LN - Grünfläche (in ha);456;......0931 Homberg;392;389;376;383;380;394;368;381
LN - Grünfläche (in ha);457;......0932 Horrenbach-Buchen;396;398;378;361;360;392;362;336
LN - Grünfläche (in ha);458;......0934 Oberhofen am Thunersee;46;45;48;43;51;58;78;73
LN - Grünfläche (in ha);459;......0935 Oberlangenegg;422;417;411;449;456;450;437;427
LN - Grünfläche (in ha);460;......0936 Pohlern;146;153;148;150;176;182;188;159
LN - Grünfläche (in ha);461;......0938 Sigriswil;1141;1147;1116;1077;1071;1113;1269;1124
LN - Grünfläche (in ha);462;......0939 Steffisburg;427;446;468;460;469;496;504;545
LN - Grünfläche (in ha);463;......0940 Teuffenthal (BE);201;210;217;223;224;241;203;170
LN - Grünfläche (in ha);464;......0941 Thierachern;347;360;353;332;305;311;265;313
LN - Grünfläche (in ha);465;......0942 Thun;287;292;306;341;389;370;403;416
LN - Grünfläche (in ha);466;......0943 Uebeschi;352;355;355;359;337;332;313;355
LN - Grünfläche (in ha);467;......0944 Uetendorf;403;424;405;390;367;381;370;450
LN - Grünfläche (in ha);468;......0945 Unterlangenegg;454;463;470;532;541;561;517;516
LN - Grünfläche (in ha);469;......0946 Wachseldorn;355;324;278;264;261;272;260;244
LN - Grünfläche (in ha);470;......0947 Zwieselberg;123;124;123;133;132;143;140;144
LN - Grünfläche (in ha);471;......0948 Forst-Längenbühl;354;350;337;296;317;295;273;262
LN - Landwirtschaftliche Nutzfläche Total (in ha);365;>> Verwaltungskreis Bern-Mittelland;48472;48811;48835;48409;48479;49057;50311;50461
LN - Landwirtschaftliche Nutzfläche Total (in ha);366;......0307 Meikirch;587;588;574;567;597;608;657;643
LN - Landwirtschaftliche Nutzfläche Total (in ha);367;......0351 Bern;876;916;974;969;966;1072;1118;1160
LN - Landwirtschaftliche Nutzfläche Total (in ha);368;......0352 Bolligen;707;720;693;690;697;743;753;1046
LN - Landwirtschaftliche Nutzfläche Total (in ha);369;......0353 Bremgarten bei Bern;54;54;45;52;53;50;68;94
LN - Landwirtschaftliche Nutzfläche Total (in ha);370;......0354 Kirchlindach;901;899;890;823;765;825;794;796
LN - Landwirtschaftliche Nutzfläche Total (in ha);371;......0355 Köniz;2483;2599;2565;2588;2608;2558;2659;2730
LN - Landwirtschaftliche Nutzfläche Total (in ha);372;......0356 Muri bei Bern;93;92;136;137;157;199;228;260
LN - Landwirtschaftliche Nutzfläche Total (in ha);373;......0357 Oberbalm;954;959;974;969;951;937;940;936
LN - Landwirtschaftliche Nutzfläche Total (in ha);374;......0358 Stettlen;192;190;197;174;158;165;178;189
LN - Landwirtschaftliche Nutzfläche Total (in ha);375;......0359 Vechigen;1363;1394;1388;1432;1473;1504;1584;1567
LN - Landwirtschaftliche Nutzfläche Total (in ha);376;......0360 Wohlen bei Bern;1808;1792;1826;1894;1846;1911;1900;1914
LN - Landwirtschaftliche Nutzfläche Total (in ha);377;......0361 Zollikofen;293;293;325;267;272;289;263;292
LN - Landwirtschaftliche Nutzfläche Total (in ha);378;......0362 Ittigen;111;111;111;109;110;112;127;0
